-32494,  54541,  3, -5
-21598,  11014,  2, -1
 21906,  21894, -2, -2
-32484, -32508,  3,  3
-54245, -21619,  5,  2
-54251,  11012,  5, -1
-54235,  32774,  5, -3
-10726,  32773,  1, -3
-43370,  21892,  4, -2
 54586, -32500, -5,  3
-32492,  21896,  3, -2
-43350,  43661,  4, -4
-54243, -10739,  5,  1
-32494,  43661,  3, -4
-10705,  11021,  1, -1
 43698,  21900, -4, -2
 54582, -54260, -5,  5
 43686,  54533, -4, -5
 11050, -10740, -1,  1
-43318, -32506,  4,  3
 32814,  32775, -3, -3
 32842, -21624, -3,  2
 11045, -10746, -1,  1
-10726,  11020,  1, -1
-43314,  21896,  4, -2
-32442, -21620,  3,  2
 43725,  32776, -4, -3
 11051,  43654, -1, -4
 54586,  21896, -5, -2
 43682,  32773, -4, -3
-21582,  32780,  2, -3
 43690, -43388, -4,  4
 32838, -21623, -3,  2
 43691, -54261, -4,  5
-43371, -43379,  4,  4
 54546, -10740, -5,  1
 21958, -32507, -2,  3
-32454,  21899,  3, -2
-32486,  21893,  3, -2
 11042, -21625, -1,  2
-10721, -10740,  1,  1
 11042,  32781, -1, -3
-21598,  11018,  2, -1
-21578, -43384,  2,  4
 43702, -43383, -4,  4
 11077, -10748, -1,  1
-43365,  11012,  4, -1
-54202, -54268,  5,  5
 32786, -10741, -3,  1
 54582,  11017, -5, -1
-32465, -43380,  3,  4
 21931, -43385, -2,  4
 43682, -54259, -4,  5
-43349, -43386,  4,  4
-43318, -43380,  4,  4
 54582, -21622, -5,  2
 21966, -21628, -2,  2
-21553, -21628,  2,  2
-10717,  11016,  1, -1
-32486, -54265,  3,  5
 11061, -32508, -1,  3
 32844, -54264, -3,  5
-10733, -43384,  1,  4
 54591, -10739, -5,  1
 21934, -54266, -2,  5
-32438,  43657,  3, -4
 21922, -43381, -2,  4
-43374,  21893,  4, -2
-21606, -21625,  2,  2
-54251,  43656,  5, -4
 32815, -10748, -3,  1
-43364, -10739,  4,  1
 21957, -43388, -2,  4
 11082, -43381, -1,  4
-54236,  11018,  5, -1
-21593, -10739,  2,  1
-10694,  32781,  1, -3
 21963, -54268, -2,  5
-32493, -21624,  3,  2
-21558,  11015,  2, -1
-43342,  32780,  4, -3
-54246, -43380,  5,  4
-21586,  21894,  2, -2
-43363, -54259,  4,  5
-43370, -21624,  4,  2
-43317, -43384,  4,  4
-43358,  21900,  4, -2
 54575,  32773, -5, -3
-43334, -54267,  4,  5
 43703, -21628, -4,  2
-32483,  54541,  3, -5
-21580,  32781,  2, -3
 54602,  54538, -5, -5
 43723,  43656, -4, -4
 11034, -21621, -1,  2
 32822, -32502, -3,  3
 54582,  32780, -5, -3
-54238, -21620,  5,  2
 43690,  32781, -4, -3
-32475,  32779,  3, -3
-21578,  32779,  2, -3
 11084,  21892, -1, -2
 43718, -10745, -4,  1
-10698,  43660,  1, -4
-32490,  43652,  3, -4
-10674, -54268,  1,  5
 21946, -43381, -2,  4
-54249,  11021,  5, -1
 11069,  54541, -1, -5
 43669, -54259, -4,  5
 11066,  54532, -1, -5
-43318, -21623,  4,  2
 11066, -21620, -1,  2
-21586, -32501,  2,  3
 21949, -10739, -2,  1
-54253, -10748,  5,  1
-21561, -32508,  2,  3
-54237,  32777,  5, -3
 11070,  54541, -1, -5
-10707,  21897,  1, -2
 54557,  43652, -5, -4
 32821, -54268, -3,  5
-43334,  11014,  4, -1
 54546, -32501, -5,  3
 54573,  43656, -5, -4
 54582, -43388, -5,  4
 21938,  32779, -2, -3
-21579,  54541,  2, -5
 43722,  32773, -4, -3
-54198,  21892,  5, -2
-43334, -32499,  4,  3
-32492, -21628,  3,  2
-32434,  11016,  3, -1
 54548, -32508, -5,  3
 21906,  43656, -2, -4
-54228, -43383,  5,  4
 54604, -54264, -5,  5
-10718, -10747,  1,  1
 43718,  54534, -4, -5
-10690, -43379,  1,  4
-21578,  43652,  2, -4
 11050, -10747, -1,  1
-54228,  11016,  5, -1
-54254, -10742,  5,  1
-43349,  11015,  4, -1
-21574, -54265,  2,  5
-21598,  54535,  2, -5
-32469,  32779,  3, -3
-10678,  11016,  1, -1
 21940, -10739, -2,  1
 21916, -21619, -2,  2
-21587,  54536,  2, -5
-32465, -54259,  3,  5
 54567,  54541, -5, -5
 54556,  54541, -5, -5
-32438, -54265,  3,  5
 54565,  32774, -5, -3
 54598, -32506, -5,  3
 11062, -32501, -1,  3
-32485, -32499,  3,  3
 32846,  32776, -3, -3
 11042, -21623, -1,  2
 54571, -32501, -5,  3
 32786,  54533, -3, -5
-10701,  21901,  1, -2
-10707, -10743,  1,  1
-32438, -32507,  3,  3
 32838, -43381, -3,  4
-43318, -43380,  4,  4
 11066,  21895, -1, -2
 21906, -43388, -2,  4
-21557,  11012,  2, -1
-54217, -43388,  5,  4
 54546, -10744, -5,  1
-54198,  21898,  5, -2
-32436, -32508,  3,  3
-32450,  43661,  3, -4
-54222,  21899,  5, -2
-32482,  11021,  3, -1
-43334,  32773,  4, -3
 11038, -32508, -1,  3
 32803, -54264, -3,  5
-32476,  11018,  3, -1
-10726,  11016,  1, -1
-32443, -32508,  3,  3
-21601,  32773,  2, -3
 21925,  54539, -2, -5
-32454,  54537,  3, -5
 32786, -10747, -3,  1
-54245, -21628,  5,  2
-21598,  32780,  2, -3
 54554, -10741, -5,  1
-43322, -10743,  4,  1
-43338, -32506,  4,  3
-43370, -21628,  4,  2
 43690,  21892, -4, -2
 32823,  43652, -3, -4
 54559,  11020, -5, -1
-10705, -43387,  1,  4
 54554,  43658, -5, -4
-54254, -54265,  5,  5
-21578,  43658,  2, -4
-54228, -43383,  5,  4
-10682, -43388,  1,  4
-32446, -10741,  3,  1
-43358,  32781,  4, -3
 21958,  21900, -2, -2
 54574,  54538, -5, -5
 11079, -32508, -1,  3
 43682, -54264, -4,  5
 43687,  32772, -4, -3
 43702,  21893, -4, -2
 32807, -32499, -3,  3
-32467, -21623,  3,  2
 11066, -21625, -1,  2
 11078,  54536, -1, -5
 54575,  21901, -5, -2
-32446, -21620,  3,  2
 21942, -10744, -2,  1
-54204,  43661,  5, -4
-10726, -43384,  1,  4
 54598,  21898, -5, -2
-21590,  21892,  2, -2
-43322,  21899,  4, -2
-21587, -43384,  2,  4
 21957,  21901, -2, -2
 54571, -54262, -5,  5
-43334, -32499,  4,  3
 54551, -43379, -5,  4
-54230, -43379,  5,  4
-32465,  54532,  3, -5
-10726,  32774,  1, -3
-32486,  11013,  3, -1
 54582,  11019, -5, -1
-21614,  32777,  2, -3
 43691, -54266, -4,  5
-43350, -32500,  4,  3
 43722, -10742, -4,  1
-10675, -32504,  1,  3
-43318,  54535,  4, -5
-21574, -21624,  2,  2
-21574, -54261,  2,  5
-21557, -21628,  2,  2
 32798, -21619, -3,  2
-21606,  54537,  2, -5
 11066, -10742, -1,  1
 54598,  43654, -5, -4
 11082,  21896, -1, -2
 21958, -43388, -2,  4
 54581, -21619, -5,  2
-21558,  43652,  2, -4
-21613,  43656,  2, -4
-54241, -54260,  5,  5
 32802, -10742, -3,  1
-54225,  21892,  5, -2
-10706, -10742,  1,  1
 43669, -43384, -4,  4
-21558, -10739,  2,  1
 11042, -32504, -1,  3
-32438, -32500,  3,  3
-10716, -32505,  1,  3
-54250,  11021,  5, -1
-54253, -10739,  5,  1
-10717,  54537,  1, -5
 11042, -43388, -1,  4
 54594,  21899, -5, -2
 32799,  54533, -3, -5
-21598, -32502,  2,  3
-21563, -10739,  2,  1
 21922, -43387, -2,  4
 21962, -43379, -2,  4
 43668,  32781, -4, -3
-54246,  54540,  5, -5
 21908, -21628, -2,  2
 43711, -54259, -4,  5
-54212, -54259,  5,  5
-21574,  32777,  2, -3
 21942, -32507, -2,  3
 43722,  11013, -4, -1
 32845,  54532, -3, -5
 43702,  21897, -4, -2
-32492,  54536,  3, -5
-21574, -10747,  2,  1
-54213, -43379,  5,  4
-54218, -32505,  5,  3
-43316, -21624,  4,  2
-10734, -21625,  1,  2
-21598, -10748,  2,  1
-10693, -43379,  1,  4
-32491, -43384,  3,  4
 21926, -43380, -2,  4
-10691, -54259,  1,  5
-54238,  54539,  5, -5
 11031,  43652, -1, -4
-43334,  11018,  4, -1
 43682, -21625, -4,  2
 21958, -54261, -2,  5
 54595, -32499, -5,  3
 54564,  43658, -5, -4
-32486, -10746,  3,  1
